Isolate,prediction by LogR,prediction by gNB,prediction by SVM,prediction by DT,prediction by RF,prediction by KNN,prediction by LDA,prediction by mNB,prediction by ABC,prediction by GBC,prediction by ETC,prediction by BC
SAMN19845234,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845235,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845236,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845237,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845238,0,0,0,0,0,0,0,0,0,0,0,0
SAMN19845239,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845240,1,1,1,1,1,0,0,1,1,1,1,1
SAMN19845241,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845242,1,1,1,1,1,1,1,1,1,1,1,1
SAMN19845243,1,1,1,1,1,1,0,1,1,1,1,1
SAMN19845244,1,1,1,1,1,1,1,1,1,1,1,1
